"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,403","15.77%"
"Probation - Compact","1,256","3.67%"
"Probation - Nonadjudicated","3,352","9.79%"
"Probation - Post Release","14,147","41.30%"
"TVC Probation","117","0.34%"
"PROBATION TOTAL","24,275","70.87%"
"Parole","7,856","22.94%"
"Parole - Compact","582","1.70%"
"Parole - Suspension","0","0.00%"
"TVC Parole","108","0.32%"
"PAROLE TOTAL","8,546","24.95%"
"Intensive Supervision Program - Court","712","2.08%"
"Intensive Supervision Program - Prison","31","0.09%"
"Earned Release Supervision","666","1.94%"
"Medical Release","12","0.04%"
"FTR- Monitoring","6","0.02%"
"Transitional Housing","0","0.00%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1,430","6.69%"
"TOTAL","34,251","100.00%"
