"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,543","16.13%"
"Probation - Compact","1,232","3.59%"
"Probation - Nonadjudicated","3,428","9.98%"
"Probation - Post Release","14,624","42.55%"
"TVC Probation","154","0.45%"
"PROBATION TOTAL","24,981","72.69%"
"Parole","7,322","21.31%"
"Parole - Compact","572","1.66%"
"Parole - Suspension","0","0.00%"
"TVC Parole","104","0.30%"
"PAROLE TOTAL","7,998","23.27%"
"Intensive Supervision Program - Court","709","2.06%"
"Intensive Supervision Program - Prison","18","0.05%"
"Earned Release Supervision","565","1.64%"
"Medical Release","10","0.03%"
"FTR- Monitoring","5","0.01%"
"Transitional Housing","1","0.00%"
"RRP","76","0.22%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1,386","6.69%"
"TOTAL","34,365","100.00%"
