"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","1",".04%"
"0","1","0","0","7",".26%"
"0","0","0","0","1",".04%"
"1","0","0","0","2",".07%"
"0","0","0","0","1",".04%"
"1","0","0","0","21",".78%"
"0","0","0","0","12",".45%"
"0","0","0","0","6",".22%"
"1","0","0","0","4",".15%"
"1","1","0","0","2",".07%"
"5","22","0","0","76","2.84%"
"1","1","0","0","14",".52%"
"0","0","0","0","2",".07%"
"0","0","0","0","2",".07%"
"4","5","0","0","13",".49%"
"0","1","0","0","2",".07%"
"17","12","0","0","82","3.06%"
"0","0","0","0","2",".07%"
"0","0","0","0","12",".45%"
"2","33","0","0","492","18.39%"
"0","0","0","0","3",".11%"
"0","0","0","0","18",".67%"
"0","0","0","0","1",".04%"
"0","0","0","0","8",".30%"
"0","0","0","0","1",".04%"
"5","3","0","0","18",".67%"
"3","1","0","0","10",".37%"
"1","1","0","0","7",".26%"
"2","1","0","0","4",".15%"
"0","1","0","0","6",".22%"
"14","30","0","0","394","14.72%"
"1","0","0","0","3",".11%"
"0","0","0","0","1",".04%"
"2","3","0","0","8",".30%"
"0","0","0","0","1",".04%"
"0","0","0","0","3",".11%"
"0","0","0","0","4",".15%"
