"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Amphetamine Possession","0","2","0","0"
"Cocaine","0","0","0","0"
"Cocaine - Possession","649","109","12","1"
"Controlled Substance","6","0","0","0"
"Marijuana Manufacture","1","11","0","0"
"Marijuana Possession","120","55","6","1"
"Methamphetamine Distribute","0","3","0","0"
"Methamphetamine Manufacture","0","42","0","0"
"Methamphetamine -Possession","7","194","1","0"
"Possession of Controlled Substance w/Intent","52","44","2","0"
"Possession of Cocaine w/Intent to Distribute","83","5","1","0"
"Possession of Marijuana w/Intent to Distribute","68","11","8","0"
"Possession Precursor w/Intent to Manufacture","0","50","0","0"
"Possession of Controlled Substance","172","202","4","1"
"Possession of Precursors","2","137","1","0"
"Theft of Precursor","0","10","1","0"
"TOTAL","1,160","875","36","3"
