"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","1",".97%"
"Itawamba","0",".00%"
"Jackson","1",".97%"
"Jasper","0",".00%"
"Jefferson","0",".00%"
"Jefferson Davis","0",".00%"
"Jones","0",".00%"
"Kemper","0",".00%"
"Lafayette","3","2.91%"
"Lamar","0",".00%"
"Lauderdale","3","2.91%"
"Lawrence","1",".97%"
"Leake","1",".97%"
"Lee","2","1.94%"
"Leflore","1",".97%"
"Lincoln","1",".97%"
"Lowndes","7","6.80%"
"Madison","1",".97%"
"Marion","0",".00%"
"Marshall","0",".00%"
"Monroe","0",".00%"
"Montgomery","0",".00%"
"Neshoba","3","2.91%"
"Newton","0",".00%"
"Noxubee","0",".00%"
"Oktibbeha","3","2.91%"
"Panola","6","5.83%"
