"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Cocaine","0","0","0","0"
"Cocaine Possession","43","11","0","0"
"Marijuana Manufacture","0","2","0","0"
"Marijuana Possession","4","4","0","0"
"Methamphetamine Distribution","0","1","0","0"
"Methamphetamine Manufacture","0","4","0","0"
"Methamphetamine Possession","0","20","0","0"
"Possession of Controlled Sub w/Intent","3","5","0","0"
"Possession of Cocaine w/Intent to","1","0","0","0"
"Possession of Marijuana w/Intent to","1","1","0","0"
"Possession of Precursor w/Intent to","0","1","0","0"
"Possession of Controlled Substance","6","5","0","0"
"Possession of Precursors","1","6","0","0"
"Theft of Precursor","0","1","0","0"
"TOTAL","59","61","0","0"
