"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Crimes Against a Person","0","0","0","0"
"Criminal Attempt to Commit","4","2","0","0"
"Cruelty To Animals","1","0","0","0"
"Desertion of Non-Support of Child","1","0","0","0"
"Directing Minor to Commit Crime","1","0","0","0"
"Discharge Firearm","15","4","0","1"
"Domestic Violence Order","7","5","0","0"
"DUI Death","0","5","0","1"
"DUI Manslaughter","1","0","1","1"
"Embezzle","0","0","0","0"
"Embezzlement","29","19","0","1"
"Escape - Jail","6","6","0","0"
"Exploitation of Vulnerable Adult","0","2","0","0"
"Extortion","2","0","0","0"
"False Information","3","1","0","0"
"False Name","1","0","0","0"
"False Pretense","30","22","1","0"
"False Report of a Crime","1","1","0","0"
"Felony Domestic Violence","5","7","0","0"
"Felony DUI","201","238","10","8"
"Firearms Discharge","2","1","0","0"
"Fleeing Law Enforcement Officer","16","2","0","0"
"Fleeing Law Enforcement Officer-Injury/Death","0","1","0","0"
"Flight to Avoid","3","5","0","0"
"Flight - Escape","1","0","0","0"
"Forgery","6","4","0","0"
"Fraud","4","1","0","1"
"Fraud - Impersonation","3","2","0","0"
"Fraudulent Use of Drivers","1","0","0","0"
"Gambling","1","4","0","0"
"Grand Larceny","157","190","2","1"
"Harboring Escapee","0","2","0","0"
"Hurling Missile at Auto","1","0","0","0"
"Identity Theft","2","1","0","0"
"Impeding Traffic","0","1","0","0"
"Larceny","1","2","0","0"
"Larceny From Auto","3","1","0","0"
