"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","1","0","0","10",".37%"
"0","0","0","0","2",".07%"
"3","1","0","0","23",".86%"
"0","0","0","0","2",".07%"
"0","0","0","0","1",".04%"
"0","12","0","0","24",".90%"
"0","1","0","0","3",".11%"
"0","0","0","0","1",".04%"
"2","2","0","0","5",".19%"
"0","0","0","0","2",".07%"
"0","1","0","0","1",".04%"
"0","3","0","0","32","1.20%"
"0","0","0","0","2",".07%"
"0","0","0","0","1",".04%"
"2","1","0","0","85","3.18%"
"0","0","0","0","1",".04%"
"0","0","0","0","1",".04%"
"0","0","0","0","2",".07%"
"1","0","0","0","31","1.16%"
"2","15","0","0","36","1.35%"
"0","0","0","0","6",".22%"
"4","3","0","0","125","4.67%"
"1","0","0","0","4",".15%"
"0","0","0","0","3",".11%"
"39","14","0","0","175","6.54%"
"3","3","0","1","70","2.62%"
"1","0","0","0","4",".15%"
"0","0","0","0","2",".07%"
"0","0","0","0","3",".11%"
"0","0","0","0","4",".15%"
"0","0","0","0","3",".11%"
"0","0","0","0","1",".04%"
"59","72","0","0","320","11.96%"
"2","6","0","0","108","4.04%"
"0","1","0","0","6",".22%"
"6","7","0","0","38","1.42%"
"207","299","1","1","2,676","100.00%"
