"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Leaving Scene of Accident","3","3","2","0"
"Looting","2","0","0","0"
"Malicious Mischief","11","8","0","0"
"Marijuana Manufacturing","0","2","0","0"
"Money Laundering","1","0","0","0"
"Obtain Contsub/Fraud","2","10","0","0"
"Operating Chop Shop","1","1","0","0"
"Operating Under the Influence","0","1","0","0"
"Perjury","1","0","0","0"
"Possess Counterfeited","2","0","0","0"
"Possession Forged","0","0","0","0"
"Possession Stolen Property","23","6","0","0"
"Possession Stolen Vehicle","2","0","0","0"
"Possession of Explosive Device","0","1","0","0"
"Possession of Firearm by Convicted Felon","58","24","0","0"
"Possession of Marijuana - Less Than Ounce","1","0","0","0"
"Possession of Tools for Commission of Crime","1","0","0","0"
"Possession of Weapon on Educational Property","2","0","0","0"
"Possession Weapon/Felon","19","11","0","0"
"Prescription Forgery","4","15","0","0"
"Property Crime","2","4","0","0"
"Receiving Stolen Property","88","29","1","0"
"Resisting Arrest","1","2","0","0"
"Shooting at a Motor Vehicle","3","0","0","0"
"Shoplifting","93","28","1","0"
"Simple Assault—Police Officer","44","17","2","0"
"Smuggling Contraband/Prison","1","2","0","0"
"Stolen Property","2","0","0","0"
"Theft By Taking Motor Vehicle","1","2","0","0"
"Threat to Bomb","4","0","0","0"
"Traffic Offenses","1","2","0","0"
"Unauthorized Use of Vehicle","1","0","0","0"
"Uttering Forgery","106","82","1","0"
"Vehicle Theft","64","34","1","1"
"Weapon Offense","5","0","0","0"
"Worthless Checks","10","13","0","2"
"TOTAL","1,178","949","22","19"
