"","COUNTY  OFFENDERS  PERCENT",""
"Adams","1",".97%"
"Alcorn","2","1.94%"
"Amite","1",".97%"
"Attala","0",".00%"
"Benton","0",".00%"
"Bolivar","1",".97%"
"Calhoun","2","1.94%"
"Carroll","0",".00%"
"Chickasaw","1",".97%"
"Choctaw","0",".00%"
"Claiborne","0",".00%"
"Clarke","0",".00%"
"Clay","3","2.91%"
"Coahoma","4","3.88%"
"Copiah","0",".00%"
"Covington","0",".00%"
"Desoto","6","5.83%"
"Forrest","4","3.88%"
"Franklin","1",".97%"
"George","0",".00%"
"Greene","0",".00%"
"Grenada","5","4.85%"
"Hancock","0",".00%"
"Harrison","2","1.94%"
"Hinds","4","3.88%"
"Holmes","3","2.91%"
"Humphreys","0",".00%"
