"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"False Information","0","0","0","0"
"False Pretense","4","1","0","0"
"Felony DUI","39","31","1","1"
"Flight to Avoid","0","1","0","0"
"Grand Larceny","8","6","0","0"
"Harboring Escapee","0","2","0","0"
"Malicious Mischief","2","0","0","0"
"Possession Stolen Property","1","0","0","0"
"Possession of Firearm/Convicted Felon","6","2","0","0"
"Possession Weapon/Felon","1","3","0","0"
"Prescription Forgery","2","1","0","0"
"Receiving Stolen Property","2","3","0","0"
"Shoplifting","7","0","0","0"
"Simple Assault-Police Officer","1","1","0","0"
"Uttering Forgery","6","3","0","0"
"Vehicle Theft","2","3","0","0"
"Worthless Checks","0","0","0","2"
"TOTAL","94","73","1","3"
