"","COUNTY  OFFENDERS  PERCENT",""
"Adams","3",".81%"
"Alcorn","6","1.63%"
"Amite","0",".00%"
"Attala","3",".81%"
"Benton","1",".27%"
"Bolivar","0",".00%"
"Calhoun","2",".54%"
"Carroll","1",".27%"
"Chickasaw","5","1.36%"
"Choctaw","2",".54%"
"Claiborne","1",".27%"
"Clarke","5","1.36%"
"Clay","5","1.36%"
"Coahoma","3",".81%"
"Copiah","4","1.08%"
"Covington","0",".00%"
"Desoto","29","7.86%"
"Forrest","3",".81%"
"Franklin","1",".27%"
"George","4","1.08%"
"Greene","0",".00%"
"Grenada","6","1.63%"
"Hancock","2",".54%"
"Harrison","21","5.69%"
"Hinds","17","4.61%"
"Holmes","3",".81%"
"Humphreys","2",".54%"
