"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0",".00%"
"Itawamba","3",".81%"
"Jackson","7","1.90%"
"Jasper","1",".27%"
"Jefferson","1",".27%"
"Jefferson Davis","0",".00%"
"Jones","5","1.36%"
"Kemper","1",".27%"
"Lafayette","5","1.36%"
"Lamar","6","1.63%"
"Lauderdale","19","5.15%"
"Lawrence","2",".54%"
"Leake","2",".54%"
"Lee","15","4.07%"
"Leflore","5","1.36%"
"Lincoln","4","1.08%"
"Lowndes","11","2.98%"
"Madison","10","2.71%"
"Marion","4","1.08%"
"Marshall","5","1.36%"
"Monroe","3",".81%"
"Montgomery","6","1.63%"
"Neshoba","4","1.08%"
"Newton","3",".81%"
"Noxubee","4","1.08%"
"Oktibbeha","13","3.52%"
"Panola","2",".54%"
