"","COUNTY  OFFENDERS  PERCENT",""
"Adams","51","1.38%"
"Alcorn","28",".76%"
"Amite","6",".16%"
"Attala","19",".51%"
"Benton","21",".57%"
"Bolivar","25",".67%"
"Calhoun","46","1.24%"
"Carroll","8",".22%"
"Chickasaw","62","1.67%"
"Choctaw","21",".57%"
"Claiborne","9",".24%"
"Clarke","10",".27%"
"Clay","70","1.89%"
"Coahoma","30",".81%"
"Copiah","34",".92%"
"Covington","12",".32%"
"Desoto","139","3.75%"
"Forrest","117","3.16%"
"Franklin","9",".24%"
"George","39","1.05%"
"Greene","18",".49%"
"Grenada","50","1.35%"
"Hancock","24",".65%"
"Harrison","259","6.99%"
"Hinds","215","5.80%"
"Holmes","19",".51%"
"Humphreys","24",".65%"
