"MALES","","","",""
"VIOLENT","BLACK","WHITE","HISPANIC","OTHER"
"Abuse Vulnerable Adult","1","2","0","0"
"Aggravated Assault Police Strong Arm","8","4","0","0"
"Aggravated Assault Police Officer Weapon","8","2","0","0"
"Aggravated Assault Public Official Weapon","4","0","0","0"
"Aggravated Assault","228","62","2","0"
"Aggravated Assault Domestic Involvement","12","3","0","0"
"Arson","12","8","0","0"
"Arson 1st Degree","6","3","0","0"
"Arson 2nd Degree","2","4","0","0"
"Arson 3rd Degree","2","2","0","0"
"Arson 4th Degree","2","0","0","0"
"Arson Residence","1","1","0","0"
"Assault","1","0","0","0"
"Child Neglect","0","1","0","0"
"Drive-By Shooting","9","1","0","1"
"Kidnapping","10","10","0","0"
"Mayhem","0","1","0","0"
"Simple Assault","4","7","0","0"
"TOTAL","310","111","2","1"
