"MALES","","","",""
"SEX OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"Child Molestation","0","2","0","0"
"Entice Child for Indecent Purposes","0","1","0","0"
"Exploitation/Child","0","1","0","0"
"Failure to Register/Sex Offender","1","4","0","0"
"Fondling","1","4","0","0"
"Fondling a Child","0","3","0","1"
"Gratification - Lust","1","2","0","0"
"Rape with a Weapon","1","0","0","0"
"Sexual Battery","3","5","0","0"
"Statutory Rape","2","2","0","0"
"Unlawful Touching/Child","0","4","1","0"
"TOTAL","9","28","1","1"
