"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Aggravated DUI","1","0","0","0"
"Aiding Prisoner Escape","0","0","0","0"
"Bigamy","0","1","0","0"
"Bribery - Public Official","1","0","0","0"
"Burglary","1","3","0","0"
"Child Abuse","0","1","0","0"
"Child Support","0","1","0","0"
"Conspiracy to Commit a Crime","2","3","0","0"
"Credit Card Fraud","0","0","0","0"
"Criminal Attempt to Commit","2","0","0","0"
"Desertion of Non-Support of Child","1","0","0","0"
"Discharge Firearm","1","0","0","0"
"Domestic Violence Order","1","0","0","0"
"DUI Death","0","1","0","0"
"DUI Manslaughter","0","0","0","0"
"Embezzlement","2","5","0","0"
"Exploitation of Vulnerable Adult","0","1","0","0"
"Extortion","1","0","0","0"
