"","COUNTY  OFFENDERS  PERCENT",""
"Adams","2",".37%"
"Alcorn","5",".92%"
"Amite","3",".55%"
"Attala","2",".37%"
"Benton","2",".37%"
"Bolivar","2",".37%"
"Calhoun","3",".55%"
"Carroll","0",".00%"
"Chickasaw","8","1.48%"
"Choctaw","2",".37%"
"Claiborne","2",".37%"
"Clarke","3",".55%"
"Clay","6","1.11%"
"Coahoma","5",".92%"
"Copiah","0",".00%"
"Covington","0",".00%"
"Desoto","27","4.99%"
"Forrest","15","2.77%"
"Franklin","2",".37%"
"George","5",".92%"
"Greene","3",".55%"
"Grenada","11","2.03%"
"Hancock","1",".18%"
"Harrison","36","6.65%"
"Hinds","25","4.62%"
"Holmes","3",".55%"
"Humphreys","1",".18%"
