"COUNTY","OFFENDERS","PERCENT"
"Issaquena","0",".00%"
"Itawamba","3",".55%"
"Jackson","18","3.33%"
"Jasper","5",".92%"
"Jefferson","1",".18%"
"Jefferson Davis","2",".37%"
"Jones","7","1.29%"
"Kemper","1",".18%"
"Lafayette","10","1.85%"
"Lamar","7","1.29%"
"Lauderdale","20","3.70%"
"Lawrence","1",".18%"
"Leake","4",".74%"
"Lee","26","4.81%"
"Leflore","4",".74%"
"Lincoln","4",".74%"
"Lowndes","17","3.14%"
"Madison","16","2.96%"
"Marion","9","1.66%"
"Marshall","17","3.14%"
"Monroe","14","2.59%"
"Montgomery","10","1.85%"
"Neshoba","13","2.40%"
"Newton","3",".55%"
"Noxubee","1",".18%"
"Oktibbeha","15","2.77%"
"Panola","2",".37%"
