"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Accessory After the Fact","14","20","0","0"
"Aggravated DUI","2","4","0","0"
"Aiding Prisoner Escape","0","2","0","0"
"Altering Identification of","1","0","0","0"
"Bigamy","0","1","0","0"
"Bribery - Public Official","1","0","0","0"
"Burglary","30","36","0","0"
"Carjacking","5","0","0","0"
"Child Abuse","4","5","0","0"
"Child Support","3","2","0","0"
"Conspiracy","7","7","0","0"
"Conspiracy to Commit a Crime","33","30","0","1"
"Contribute to Delinquency of Minor","0","0","0","0"
"Counterfeiting","1","0","0","0"
"Credit Card Fraud","9","16","0","1"
