"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of September 1, 2004","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","16,208","65.25%","","",""
"Compact Probation","1,055","4.25%","","",""
"Nonadjudicated","794","3.20%","","",""
"Post Release","2,082","8.38%","","",""
"","20,139","81.08%","Probation Total","",""
"Parole","1,642","6.61%","","",""
"Compact Parole","390","1.57%","","",""
"Suspension","0","0.00%","","",""
"","2,032","8.18%","Parole Total","",""
"Intensive Supervision Program - Court","575","2.31%","","",""
"Intensive Supervision Program - Prison","731","2.94%","","",""
"Earned Release Supervision","1,362","5.48%","","",""
"Medical Release","0","0.00%","","",""
"","2,668","10.74%","Community Inmate Total","",""
"TOTAL","24,839","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
9,010","58.81%","2,461","51.07%","11,471","56.96%"
"White
6,052","39.50%","2,285","47.42%","8,337","41.40%"
"Hispanic
92","0.60%","15","0.31%","107","0.53%"
"Native American
17","0.11%","4","0.08%","21","0.10%"
"Asian
34","0.22%","16","0.33%","50","0.25%"
"Data Unavailable
115","0.75%","38","0.79%","153","0.76%"
"TOTAL
15,320","100.00%","4,819","100.00%","20,139","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
2,537","12.60%","","","",""
"Property
10,770","53.48%","","","",""
"Drug
6,832","33.92%","","","",""
"TOTAL
20,139","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,113","63.89%","134","46.21%","1,247","61.37%"
"White
609","34.96%","150","51.72%","759","37.35%"
"Hispanic
14","0.80%","4","1.38%","18","0.89%"
"Native American
3","0.17%","0","0.00%","33","0.15%"
"Asian
1","0.06%","2","0.69%","","0.15%"
"Data Unavailable
2","0.11%","0","0.00%","2","0.10%"
"TOTAL
1,742","100.00%","290","100.00%","2,032","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
516","25.39%","","","",""
"Property
752","37.01%","","","",""
"Drug
764","37.60%","","","",""
"TOTAL
2,032","100.00%","","","",""
