"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of August 1, 2003","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","11,200","49.69%","","",""
"Compact Probation","1,080","4.79%","","",""
"Nonadjudicated","2,288","10.15%","","",""
"Post Release","3,643","16.16%","","",""
"","18,211","80.80%","Probation Total","",""
"Parole","1,366","6.06%","","",""
"Compact Parole","401","1.78%","","",""
"Suspension","10","0.04%","","",""
"","1,777","7.88%","Parole Total","",""
"Intensive Supervision Program - Court","1,050","4.66%","","",""
"Intensive Supervision Program - Prison","319","1.42%","","",""
"Earned Release Supervision","1,182","5.24%","","",""
"Medical Release","0","0.00%","","",""
"","2,551","11.32%","Community Inmate Total","",""
"TOTAL","22,539","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
8,408","60.13%","2,200","52.88%","10,608","58.25%"
"White
5,449","38.97%","1,905","45.79%","7,354","40.38%"
"Hispanic
66","0.47%","21","0.50%","87","0.48%"
"Native American
27","0.19%","9","0.22%","36","0.20%"
"Asian
32","0.23%","25","0.60%","57","0.31%"
"Data Unavailable
0","0.00%","0","0.00%","69","0.38%"
"TOTAL
13,982","100.00%","4,160","100.00%","18,211","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
2,190","12.03%","","","",""
"Property
10,101","55.47%","","","",""
"Drug
5,920","32.51%","","","",""
"TOTAL
18,211","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,051","67.81%","128","56.39%","1,179","66.35%"
"White
492","31.74%","98","43.17%","590","33.20%"
"Hispanic
5","0.32%","","0.44%","6","0.34%"
"Native American
1","0.06%","1 0","0.00%","","0.06%"
"Asian
1","0.06%","0","0.00%","11","0.06%"
"TOTAL
1,550","100.00%","227","100.00%","1,777","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
588","33.09%","","","",""
"Property
559","31.46%","","","",""
"Drug
630","35.45%","","","",""
"TOTAL
1,777","100.00%","","","",""
