"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of  August 2, 2004","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","16,272","66.85%","","",""
"Compact Probation","1,018","4.18%","","",""
"Nonadjudicated","722","2.97%","","",""
"Post Release","1,765","7.25%","","",""
"","19,777","81.25%","Probation Total","",""
"Parole","1,601","6.58%","","",""
"Compact Parole","390","1.60%","","",""
"Suspension","0","0.00%","","",""
"","1,991","8.18%","Parole Total","",""
"Intensive Supervision Program - Court","928","3.81%","","",""
"Intensive Supervision Program - Prison","374","1.54%","","",""
"Earned Release Supervision","1,270","5.22%","","",""
"Medical Release","","0.00%","","",""
"","2,572","10.57%","Community Inmate Total","",""
"TOTAL","24,340","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
8,855","58.81%","2,404","50.92%","11,259","56.93%"
"White
5,950","39.52%","2,247","47.60%","8,197","41.45%"
"Hispanic
90","0.60%","15","0.32%","105","0.53%"
"Native American
19","0.13%","5","0.11%","24","0.12%"
"Asian
33","0.22%","15","0.32%","48","0.24%"
"Data Unavailable
109","0.72%","35","0.74%","144","0.73%"
"TOTAL
15,056","100.00%","4,721","100.00%","19,777","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
2,497","12.63%","","","",""
"Property
10,583","53.51%","","","",""
"Drug
6,697","33.86%","","","",""
"TOTAL
19,777","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,105","64.28%","127","46.69%","1,232","61.88%"
"White
594","34.55%","139","51.10%","733","36.82%"
"Hispanic
13","0.76%","","1.47%","17","0.85%"
"Native American
3","0.17%","4 0 2","0.00%","43","0.15%"
"Asian
2","0.12%","","0.74%","","0.20%"
"Data Unavailable
2","0.12%","0","0.00%","2","0.10%"
"TOTAL
1,719","100.00%","272","100.00%","1,991","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
516","25.92%","","","",""
"Property
722","36.26%","","","",""
"Drug
753","37.82%","","","",""
"TOTAL
1,991","100.00%","","","",""
