"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Cocaine - Possession","23","4","0","0"
"Marijuana - Manufacturing","1","0","0","0"
"Marijuana - Possession","2","3","0","0"
"Methamphetamine - Manufacturing","0","2","0","0"
"Methamphetamine - Possession","0","7","0","1"
"Possession of Controlled Sub. w/Intent","2","2","0","1"
"Possession of Cocaine w/Intent to","3","0","0","0"
"Possession of Marijuana w/Intent to","2","0","0","0"
"Possession of Precursor w/Intent to","0","4","0","0"
"Possession of Controlled Substance","16","8","0","0"
"Possession of Precursors","0","5","0","0"
"TOTAL","49","35","0","2"
