"MALES","","","",""
"OTHER PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Possession Firearm by Convicted Felon","49","13","0","0"
"Possession of Marijuana - Less","0","0","0","0"
"Possession Weapon/Felon","33","20","0","0"
"Prescription Forgery","0","18","0","0"
"Property Crimes","1","3","0","0"
"Receiving Stolen Property","104","46","0","0"
"Resisting Arrest","0","0","0","1"
"Sale of Stolen Property","1","1","0","0"
"Shoplifting","104","21","0","0"
"Simple Assault - Police Officer","36","14","1","1"
"Smuggling Contraband - Prison","1","0","0","0"
"Stolen Property","1","0","0","0"
"Theft by Taking","0","1","0","0"
"Threat to Bomb","0","0","0","0"
"Traffic Offenses","0","0","0","0"
"Trespassing","1","0","0","0"
"Unauthorized Use of Vehicle","0","3","0","0"
"Using Explosing Device","0","1","0","0"
"Uttering Forgery","126","96","1","1"
"Vehicle Theft","82","44","0","0"
"Violation/Quarantine","1","0","0","0"
"Weapon Offense","10","1","0","0"
"Worthless Checks","16","9","1","0"
"TOTAL","1,271","1,010","13","16"
