"MALES","","","",""
"SEX OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"Capital Rape","0","1","0","0"
"Child Molestation","0","2","0","0"
"Exploitation/Child","0","1","0","0"
"Failure to Register/Sex Offender","1","1","0","0"
"Fondling","0","1","0","0"
"Fondling a Child","0","1","0","0"
"Gratification/Lust","1","2","0","0"
"Rape","2","0","0","0"
"Sex Assault","2","0","0","0"
"Sexual Battery","4","6","0","0"
"Statuatory Rape","2","1","1","0"
"Unlawful Touching/Child","0","6","1","0"
"TOTAL","0","6","1","0"
