"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Cocaine - Trafficking","1","0","0","0"
"Cocaine Possession","596","88","3","0"
"Controlled Substance","3","0","0","0"
"Heroin Possession","0","3","1","0"
"Marijuana Manufacturing","2","8","0","0"
"Marijuana Possession","120","44","9","3"
"Methamphetamine Distribution","0","4","1","0"
"Methamphetamine Manufacture","0","47","0","0"
"Methamphetamine Possession","2","182","2","1"
"Possession Controlled Substance with Intent","61","39","8","2"
"Possession Cocaine w/Intent to Distribute","63","2","2","0"
"Possession Marijuana w/Intent to Distribute","57","20","3","0"
"Possession Precursor w/Intent Manufacture","1","81","1","0"
"Possession of a Controlled Substance","211","267","2","1"
"Possession of Precursors","1","107","0","0"
"Theft of Precursor","0","6","0","0"
"TOTAL","1,118","898","32","7"
