"MALES","","","",""
"SEX OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"Capital Rape","4","1","0","0"
"Child Molesting","2","8","0","0"
"Exploitation of a Child","0","4","0","0"
"Failure to Register - Sexual Offense","11","5","0","0"
"Fondling","9","8","0","0"
"Fondling a Child","7","10","1","0"
"Gratification - Lust","5","11","0","0"
"Peeping Tom","3","3","0","0"
"Rape","16","2","0","2"
"Sexual Assault","4","1","0","0"
"Sexual Battery","62","49","0","0"
"Statutory Rape","44","22","1","0"
"Unlawful Touching/Child","12","21","2","0"
"TOTAL","179","145","4","2"
