"","COUNTY  OFFENDERS  PERCENT",""
"Pearl River","7","1.42%"
"Perry","2","0.40%"
"Pike","16","3.24%"
"Pontotoc","11","2.23%"
"Prentiss","11","2.23%"
"Quitman","1","0.20%"
"Rankin","24","4.86%"
"Scott","6","1.21%"
"Sharkey","0","0.00%"
"Simpson","1","0.20%"
"Smith","3","0.61%"
"Stone","6","1.21%"
"Sunflower","3","0.61%"
"Tallahatchie","2","0.40%"
"Tate","5","1.01%"
"Tippah","2","0.40%"
"Tishomingo","3","0.61%"
"Tunica","5","1.01%"
"Union","4","0.81%"
"Walthall","1","0.20%"
"Warren","3","0.61%"
"Washington","5","1.01%"
"Wayne","4","0.81%"
"Webster","1","0.20%"
"Wilkinson","0","0.00%"
"Winston","3","0.61%"
"Yalobusha","2","0.40%"
