"COUNTY","OFFENDERS","PERCENT"
"Adams","64","0.67%"
"Alcorn","93","0.98%"
"Amite","26","0.27%"
"Attala","71","0.75%"
"Benton","12","0.13%"
"Bolivar","72","0.76%"
"Calhoun","82","0.86%"
"Carroll","42","0.44%"
"Chickasaw","60","0.63%"
"Choctaw","17","0.18%"
"Claiborne","18","0.19%"
"Clarke","42","0.44%"
"Clay","99","1.04%"
"Coahoma","84","0.88%"
"Copiah","92","0.97%"
"Covington","23","0.24%"
"Desoto","325","3.42%"
"Forrest","327","3.44%"
"Franklin","29","0.30%"
"George","75","0.79%"
"Greene","53","0.56%"
"Grenada","113","1.19%"
"Hancock","116","1.22%"
"Harrison","895","9.41%"
"Hinds","750","7.88%"
"Holmes","51","0.54%"
"Humphreys","44","0.46%"
"Issaquena","1","0.01%"
"Itawamba","33","0.35%"
"Jackson","365","3.84%"
"Jasper","26","0.27%"
"Jefferson","10","0.11%"
"Jefferson Davis","38","0.40%"
"Jones","150","1.58%"
"Kemper","21","0.22%"
"Lafayette","99","1.04%"
"Lamar","147","1.55%"
"Lauderdale","341","3.58%"
"Lawrence","30","0.32%"
"Leake","55","0.58%"
"Lee","274","2.88%"
"Leflore","113","1.19%"
"Lincoln","128","1.35%"
"Lowndes","358","3.76%"
"Madison","249","2.62%"
"Marion","111","1.17%"
"Marshall","105","1.10%"
"Monroe","137","1.44%"
"Montgomery","41","0.43%"
"Neshoba","78","0.82%"
"Newton","45","0.47%"
"Noxubee","30","0.32%"
"Oktibbeha","140","1.47%"
"Panola","107","1.12%"
"Pearl River","184","1.93%"
"Perry","37","0.39%"
"Pike","282","2.96%"
"Pontotoc","145","1.52%"
"Prentiss","86","0.90%"
"Quitman","33","0.35%"
"Rankin","446","4.69%"
"Scott","90","0.95%"
"Sharkey","22","0.23%"
"Simpson","20","0.21%"
"Smith","23","0.24%"
"Stone","57","0.60%"
"Sunflower","103","1.08%"
"Tallahatchie","50","0.53%"
"Tate","54","0.57%"
"Tippah","59","0.62%"
"Tishomingo","32","0.34%"
"Tunica","86","0.90%"
"Union","78","0.82%"
"Walthall","53","0.56%"
"Warren","142","1.49%"
"Washington","125","1.31%"
"Wayne","84","0.88%"
"Webster","33","0.35%"
"Wilkinson","13","0.14%"
"Winston","43","0.45%"
"Yalobusha","43","0.45%"
"Yazoo","62","0.65%"
"Verification Pending","122","1.28%"
"TOTAL","9,514","100.00%"
