"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"3","12","0","0","53","1.89%"
"0","1","0","0","12","0.43%"
"0","1","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","2","0.07%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","2","0","0","61","2.17%"
"0","0","0","0","4","0.14%"
"0","0","0","0","3","0.11%"
"0","0","0","0","1","0.04%"
"2","2","0","0","15","0.53%"
"0","0","0","0","13","0.46%"
"0","0","0","0","6","0.21%"
"3","6","0","0","29","1.03%"
"2","7","1","0","50","1.78%"
"0","0","0","0","1","0.04%"
"5","11","0","0","37","1.32%"
"0","0","0","0","1","0.04%"
"0","0","0","0","3","0.11%"
"1","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","14","0.50%"
"0","0","0","0","3","0.11%"
"0","0","0","0","8","0.28%"
"1","0","0","0","9","0.32%"
