"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","1","0.30%"
"Itawamba","0","0.00%"
"Jackson","14","4.18%"
"Jasper","0","0.00%"
"Jefferson","1","0.30%"
"Jefferson Davis","3","0.90%"
"Jones","5","1.49%"
"Kemper","0","0.00%"
"Lafayette","7","2.09%"
"Lamar","3","0.90%"
"Lauderdale","13","3.88%"
"Lawrence","2","0.60%"
"Leake","1","0.30%"
"Lee","10","2.99%"
"Leflore","5","1.49%"
"Lincoln","4","1.19%"
"Lowndes","14","4.18%"
"Madison","1","0.30%"
"Marion","3","0.90%"
"Marshall","6","1.79%"
"Monroe","3","0.90%"
"Montgomery","8","2.39%"
"Neshoba","2","0.60%"
"Newton","0","0.00%"
"Noxubee","1","0.30%"
"Oktibbeha","8","2.39%"
"Panola","4","1.19%"
