"MALES","","","",""
"OTHER PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Accessory After the Fact","23","15","0","0"
"Aggravated DUI","6","5","0","0"
"Aiding Prisoner Escape","0","0","0","0"
"Altering Identifidation of","0","1","0","0"
"Attempt to Elude","0","2","0","0"
"Bribery","0","1","0","0"
"Bribery - Public Official","1","0","0","0"
"Burglary","31","28","0","0"
"Carjacking","3","1","0","0"
"Carry Concealed Weapon","2","1","0","0"
"Carrying Weapon on School","1","0","0","0"
"Child Abuse","3","8","0","0"
"Child Support","8","5","0","0"
"Compounding Crime","6","0","0","0"
"Conspiracy","15","5","0","0"
"Conspiracy to Commit Crime","19","21","0","0"
"Counterfeiting","1","0","0","0"
"Credit Card Fraud","8","11","1","1"
"Crimes Against Person","1","0","0","0"
"Criminal Attempt to Commit","2","1","0","0"
"Cruelty To Animals","0","0","0","0"
"Cruelty Toward Wife","1","0","0","0"
"Discharge Firearm","10","4","0","0"
"Disorderly Conduct/Creating","3","0","0","0"
"Domestic Violence Order","5","3","0","0"
"DUI Death","1","4","3","0"
