"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"17","17","0","0","93","3.31%"
"1","1","0","0","13","0.46%"
"0","1","0","0","3","0.11%"
"0","0","0","0","2","0.07%"
"0","0","0","0","3","0.11%"
"2","0","0","0","4","0.14%"
"11","27","0","0","91","3.24%"
"0","0","0","0","2","0.07%"
"0","0","0","0","14","0.50%"
"5","34","1","2","583","20.74%"
"1","0","0","0","2","0.07%"
"0","0","0","0","2","0.07%"
"0","0","0","0","1","0.04%"
"2","4","0","0","20","0.71%"
"0","1","0","0","8","0.28%"
"2","0","0","0","2","0.07%"
"1","0","0","0","2","0.07%"
"0","0","0","0","1","0.04%"
"1","2","0","0","4","0.14%"
"0","0","0","0","2","0.07%"
"1","2","0","0","4","0.14%"
"1","0","0","0","6","0.21%"
"7","28","0","0","405","14.41%"
"0","0","0","0","1","0.04%"
"1","0","0","0","2","0.07%"
"0","0","0","0","1","0.04%"
"0","2","0","0","3","0.11%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","9","0.32%"
"0","1","0","0","10","0.36%"
"1","0","0","0","3","0.11%"
"3","10","0","0","20","0.71%"
"0","0","0","0","2","0.07%"
"0","1","0","0","2","0.07%"
"3","1","0","0","45","1.60%"
"0","0","0","0","2","0.07%"
