"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0","0.00%"
"Itawamba","0","0.00%"
"Jackson","1","0.98%"
"Jasper","0","0.00%"
"Jefferson","0","0.00%"
"Jefferson Davis","1","0.98%"
"Jones","2","1.96%"
"Kemper","0","0.00%"
"Lafayette","1","0.98%"
"Lamar","1","0.98%"
"Lauderdale","0","0.00%"
"Lawrence","0","0.00%"
"Leake","2","1.96%"
"Lee","7","6.86%"
"Leflore","2","1.96%"
"Lincoln","0","0.00%"
"Lowndes","5","4.90%"
"Madison","3","2.94%"
"Marion","2","1.96%"
"Marshall","1","0.98%"
"Monroe","0","0.00%"
"Montgomery","1","0.98%"
"Neshoba","1","0.98%"
"Newton","1","0.98%"
"Noxubee","0","0.00%"
"Oktibbeha","3","2.94%"
"Panola","3","2.94%"
