"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","2","0","0","3","1.42%"
"0","0","0","0","2","0.95%"
"0","1","0","0","1","0.47%"
"0","0","0","0","1","0.47%"
"0","0","0","0","1","0.47%"
"0","1","0","0","1","0.47%"
"0","0","0","0","1","0.47%"
"0","0","0","0","2","0.95%"
"0","1","0","0","4","1.90%"
"0","0","0","0","1","0.47%"
"0","0","0","0","2","0.95%"
"1","4","0","0","8","3.79%"
"0","0","0","0","1","0.47%"
"0","0","0","0","1","0.47%"
"1","1","0","0","8","3.79%"
"0","0","0","0","1","0.47%"
"1","4","0","0","84","39.81%"
"0","0","0","0","1","0.47%"
"0","0","0","0","1","0.47%"
"0","0","0","0","1","0.47%"
"0","0","0","0","11","5.21%"
"0","0","0","0","1","0.47%"
"0","0","0","0","1","0.47%"
"0","0","0","0","8","3.79%"
"0","0","0","0","7","3.32%"
"0","0","0","0","2","0.95%"
"0","1","0","0","4","1.90%"
"4","0","0","0","19","9.00%"
"0","0","0","0","3","1.42%"
"0","0","0","0","1","0.47%"
"6","1","0","0","18","8.53%"
"0","0","0","0","6","2.84%"
"1","1","0","0","5","2.37%"
"14","17","0","0","211","100.00%"
