"","COUNTY  OFFENDERS  PERCENT",""
"Adams","22","0.62%"
"Alcorn","29","0.82%"
"Amite","14","0.40%"
"Attala","25","0.71%"
"Benton","3","0.09%"
"Bolivar","15","0.43%"
"Calhoun","31","0.88%"
"Carroll","14","0.40%"
"Chickasaw","25","0.71%"
"Choctaw","6","0.17%"
"Claiborne","5","0.14%"
"Clarke","10","0.28%"
"Clay","42","1.19%"
"Coahoma","25","0.71%"
"Copiah","32","0.91%"
"Covington","8","0.23%"
"Desoto","88","2.50%"
"Forrest","100","2.84%"
"Franklin","15","0.43%"
"George","49","1.39%"
"Greene","29","0.82%"
"Grenada","44","1.25%"
"Hancock","59","1.67%"
"Harrison","354","10.04%"
"Hinds","271","7.69%"
"Holmes","5","0.14%"
"Humphreys","17","0.48%"
