"MALES","","","",""
"BURGLARY","BLACK","WHITE","HISPANIC","OTHER"
"Burglary - Tools Possession","2","3","0","0"
"Burglary Larceny - Non-Residential","10","21","0","0"
"Burglary Larceny - Occupied Dwelling","2","0","0","0"
"Burglary Larceny - Residential","10","28","0","0"
"Burglary Larceny - Unoccupied","1","2","0","0"
"Burglary Larceny - Vehicle","11","9","1","0"
"Burglary - General","59","41","0","1"
"Burglary - Non-Residential","248","123","0","1"
"Burglary - Occupied Dwelling","9","5","0","0"
"Burglary - Residential","400","241","0","2"
"Burglary - Vehicle","173","76","0","1"
"Violation of Mississippi RICO Act","1","2","0","0"
"TOTAL","926","551","1","5"
