"COUNTY","OFFENDERS","PERCENT"
"Issaquena","1","0.03%"
"Itawamba","15","0.43%"
"Jackson","129","3.66%"
"Jasper","17","0.48%"
"Jefferson","13","0.37%"
"Jefferson Davis","0","0.00%"
"Jones","59","1.67%"
"Kemper","12","0.34%"
"Lafayette","29","0.82%"
"Lamar","57","1.62%"
"Lauderdale","124","3.52%"
"Lawrence","16","0.45%"
"Leake","24","0.68%"
"Lee","117","3.32%"
"Leflore","31","0.88%"
"Lincoln","57","1.62%"
"Lowndes","156","4.42%"
"Madison","93","2.64%"
"Marion","26","0.74%"
"Marshall","46","1.30%"
"Monroe","68","1.93%"
"Montgomery","10","0.28%"
"Neshoba","30","0.85%"
"Newton","14","0.40%"
"Noxubee","7","0.20%"
"Oktibbeha","57","1.62%"
"Panola","48","1.36%"
