"MALES","","","",""
"OTHER PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Embezzlement","28","31","0","0"
"Escape - Jail","7","4","0","0"
"Exploitation of Vulnerable","0","2","0","0"
"Extortion","2","0","0","0"
"Failure to Obey Officer","2","1","0","0"
"False Information","1","1","0","0"
"False Pretense","30","23","0","0"
"Family Offense","2","0","0","0"
"Felony Domestic Violence","10","4","0","0"
"Felony DUI","244","284","3","10"
"Firearms Discharge","1","0","0","0"
"Flight to Avoid","1","1","0","0"
"Flight - Escape","1","0","0","0"
"Forgery","8","6","0","0"
"Fraud","1","5","0","1"
"Fraud By Wire","0","0","0","0"
"Fraud In Obtaining Public","1","0","0","0"
"Fraud/Abuse Computer","1","0","0","0"
"Fraud - Impersonation","0","0","1","0"
"Fraud - Swindle","1","1","0","0"
"Fraudulent Use of Drivers","1","0","0","0"
"Gambling","1","4","0","0"
"Grand Larceny","173","196","0","1"
"Harassing Phone Calls","0","1","0","0"
"Harboring Escape","0","1","0","0"
"Health - Safety","1","0","0","0"
"Hit and Run","1","0","0","0"
"Invasion of Privacy","0","1","0","0"
"Larceny - From Auto","1","0","0","0"
"Leaving Scene - Accident","4","3","2","0"
"Malicious Mischief","3","6","0","0"
"Neglect Family","1","1","0","0"
"Obtaining Controlled Substance By Fraud","0","7","0","0"
"Operating Chop Shop","0","2","0","0"
"Possession of Counterfeit","1","0","0","0"
"Possession Stolen Property","27","14","0","0"
"Possession Stolen Vehicle","0","2","0","0"
