"","COUNTY  OFFENDERS  PERCENT",""
"Adams","2","0.60%"
"Alcorn","3","0.90%"
"Amite","0","0.00%"
"Attala","2","0.60%"
"Benton","2","0.60%"
"Bolivar","3","0.90%"
"Calhoun","1","0.30%"
"Carroll","4","1.19%"
"Chickasaw","0","0.00%"
"Choctaw","1","0.30%"
"Claiborne","0","0.00%"
"Clarke","3","0.90%"
"Clay","4","1.19%"
"Coahoma","6","1.79%"
"Copiah","4","1.19%"
"Covington","0","0.00%"
"Desoto","9","2.69%"
"Forrest","11","3.28%"
"Franklin","0","0.00%"
"George","3","0.90%"
"Greene","0","0.00%"
"Grenada","5","1.49%"
"Hancock","5","1.49%"
"Harrison","22","6.57%"
"Hinds","20","5.97%"
"Holmes","5","1.49%"
"Humphreys","4","1.19%"
