"MALES","","","",""
"VIOLENT","BLACK","WHITE","HISPANIC","OTHER"
"Abuse Vulnerable Adult","1","1","0","0"
"Aggravated Assault Police Strong Arm","5","3","1","0"
"Aggravated Assault Police Officer - Weapon","5","3","0","0"
"Aggravated Assault Public Official Weapon","1","0","0","0"
"Aggravated Assault","277","59","1","6"
"Aggravated Assault Domestic Involvement","1","1","0","0"
"Arson","13","13","0","0"
"Arson 1st Degree","4","6","0","0"
"Arson 2nd Degree","0","4","0","0"
"Arson 3rd Degree","2","0","0","0"
"Arson Residence","2","2","0","0"
"Assault","2","0","0","0"
"Drive-By Shooting","10","3","0","3"
"Intimidation","2","0","0","0"
"Kidnapping","13","7","0","0"
"Mayhem","1","1","0","0"
"Simple Assault","9","0","0","0"
"TOTAL","348","103","2","9"
