"MALES","","","",""
"OTHER PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Accessory After The Fact","0","1","0","0"
"Aggravated DUI","1","1","0","0"
"Aiding Prisoner Escape","0","0","0","0"
"Bribery","0","1","0","0"
"Bribery - Public Official","1","0","0","0"
"Burglary","0","0","0","0"
"Child Support","1","0","0","0"
"Conspiracy","2","0","0","0"
"Conspiracy To Commit A Crime","1","2","0","0"
"Discharg Firearm","0","1","0","0"
"Domestic Violence Order","2","0","0","0"
"Embezzlement","1","2","0","0"
"Extortion","1","0","0","0"
"False Information","1","0","0","0"
"False Pretense","2","4","0","0"
"Felony Domestic Violence","1","0","0","0"
"Felony DUI","36","43","0","0"
"Forgery","1","0","0","0"
"Foraud In Obtaining Public Assistence","1","0","0","0"
"Gambling","0","1","0","0"
"Grand Larceny","7","4","0","0"
"Leaving Scene Of Accident","1","0","0","0"
"Operating Chop Shop","0","1","0","0"
"Possession of Firearm By Convicted","7","1","0","0"
"Possession Weapon/Felon","5","2","0","0"
"Prescription Forgery","0","2","0","0"
"Receive Stolen Property","2","1","0","0"
"Shoplifting","14","1","0","0"
"Simple Assault - Pol Off","3","0","0","0"
"Stolen Property","1","0","0","0"
"Uttering Forgery","4","7","0","0"
"Vehicle Theft","3","3","0","0"
"Worthless Checks","2","1","0","0"
"TOTAL","101","79","0","0"
