"","","Fact Sheet","","",""
"","","As of February 1, 2018","","",""
"INMATE STATISTICS (continued)","","","","",""
"Community Trusties","0","","40","",".19%"
"Emergency Suspension","","","0","",".00%"
"Pending File Review","","","91","",".44%"
"TVC","0","","21","",".10%"
"Transitional Housing","0","","33","","0.2%"
"Court Order","0","","245","","1.18%"
"RRP","0","","104","",".50%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","","18,945","","91.35%"
"Intensive Supervision Program","0","","700","","3.38%"
"Conditional Release","0","","4","","0.02%"
"Earned Release Supervision Program","0","","578","","2.79%"
"Failure to Register-Monitoring","0","","5","","0.02%"
"Medical Release","0","","13","","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","","1,300","","6.27%"
"Other Custody","0","","450","","2.17%"
"Off-Grounds Medical (Hospital)","0","","14","","0.07%"
"At Large (Escapees & Walk-Aways)","0","","29","","0.14%"
"TOTAL","23,881","","20,738","","100.00%"
"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,275
64.36%","","602","36.13%","12,877","62.09%"
"White
6,525
34.21%","","1,041","62.48%","7,566","36.48%"
"Hispanic
199
1.04%","","11",".66%","210","1.01%"
"Native American
26
.14%","","6",".36%","32",".15%"
"Asian
37
.19%","","5",".30%","42",".20%"
"Data Unavailable
10
.05%","","1",".06%","11",".05%"
"TOTAL
19,072
100.00%","","1,666","100.00%","20,738","00
100.00%"
