"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,132","","67.02%","","","","908","","","42.10%","","","","16,040","","","","64.85%"
"White
7,128","","31.57%","","","","1,221","","","56.61%","","","","8,349","","","","33.76%"
"Hispanic
225","","1.00%","","","","17","","",".79%","","","","242","","","",".98%"
"Native American
35","",".16%","","","","","","",".32%","","","","42","","","",".17%"
"Asian
49","",".22%","","","","","","",".05%","","","","50","","","",".20%"
"Data Unavailable
8","",".04%","","","","3","","",".14%","","","","11","","","",".04%"
"TOTAL
22,577","","100.00%","","","","2,157","","","100.00%","","","","24,734","","","","100.00%"
