"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,095","","67.24%","","","","755","","","41.99%","","","","13,850","","","","65.10%"
"White
6,101","","31.33%","","","","1,012","","","56.28%","","","","7,113","","","","33.44%"
"Hispanic
198","","1.02%","","","","19","","","1.06%","","","","217","","","","1.02%"
"Native American
26","",".13%","","","","","","",".28%","","","","31","","","",".15%"
"Asian
48","",".25%","","","","","","",".28%","","","","53","","","",".25%"
"Data Unavailable
8","",".04%","","","","2","","",".11%","","","","10","","","",".05%"
"TOTAL
19,476","","100.00%","","","","1,798","","","100.00%","","","","21,274","","","","100.00%"
