"","INMATE CUSTODY POPULATION (continued)","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,554","","68.20%","","","","677","","","42.13%","","","","14,231","","","","66.25%"
"White
6,123","","30.81%","","","","916","","","57.00%","","","","7,039","","","","32.77%"
"Hispanic
145","",".73%","","","","8","","",".50%","","","","153","","","",".71%"
"Native American
21","",".11%","","","","3","","",".19%","","","","24","","","",".11%"
"Asian
27","",".14%","","","","3","","",".19%","","","","30","","","",".14%"
"Data Unavailable
4","",".02%","","","","0","","",".00%","","","","4","","","",".02%"
"TOTAL
19,874","","100.00%","","","","1,607","","","100.00%","","","","21,481","","","","100.00%"
