"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,681","","67.31%","","","","708","","","41.04%","","","","13,389","","","","65.11%"
"White
5,886","","31.24%","","","","995","","","57.68%","","","","6,881","","","","33.46%"
"Hispanic
190","","1.01%","","","","16","","",".93%","","","","206","","","","1.00%"
"Native American
27","",".14%","","","","","","",".23%","","","","31","","","",".15%"
"Asian
48","",".25%","","","","","","",".12%","","","","50","","","",".24%"
"Data Unavailable
8","",".04%","","","","0","","",".00%","","","","8","","","",".04%"
"TOTAL
18,840","","100.00%","","","","1,725","","","100.00%","","","","20,565","","","","100.00%"
