"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,900","","67.80%","","","","729","","","43.55%","","","","14,629","","","","65.97%"
"White
6,386","","31.15%","","","","932","","","55.68%","","","","7,318","","","","33.00%"
"Hispanic
150","",".73%","","","","9","","",".54%","","","","159","","","",".72%"
"Native American
17","",".08%","","","","","","",".18%","","","","20","","","",".09%"
"Asian
43","",".21%","","","","","","",".00%","","","","43","","","",".19%"
"Data Unavailable
6","",".03%","","","","1","","",".06%","","","","7","","","",".03%"
"TOTAL
20,502","","100.00%","","","","1,674","","","100.00%","","","","22,176","","","","100.00%"
