"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
16,042","","67.12%","","","","991","","","42.44%","","","","17,033","","","","64.94%"
"White
7,555","","31.61%","","","","1,311","","","56.15%","","","","8,866","","","","33.80%"
"Hispanic
216","",".90%","","","","17","","",".73%","","","","233","","","",".89%"
"Native American
34","",".14%","","","","","","",".21%","","","","39","","","",".15%"
"Asian
45","",".19%","","","","","","",".09%","","","","47","","","",".18%"
"Data Unavailable
7","",".03%","","","","9","","",".39%","","","","10","","","",".04%"
"TOTAL
23,899","","100.00%","","","","2,335","","","100.00%","","","","26,228","","","","100.00%"
