"County","Offenders","Percent"
"Adams","3","0.7%"
"+ Lowndes","16","3.7%"
"Alcorn","5","1.2%"
"Madison","9","2.1%"
"Amite","3","0.7%"
"Marion","4","0.9%"
"Attala","2","0.5%"
"Marshall","3","0.7%"
"Bolivar","3","0.7%"
"Monroe","4","0.9%"
"Calhoun","1","0.2%"
"Neshoba","4","0.9%"
"Carroll","1","0.2%"
"Newton","4","0.9%"
"Chickasaw","7","1.6%"
"Noxubee","1","0.2%"
"Choctaw","3","0.7%"
"Oktibbeha","10","2.3%"
"Claiborne","1","0.2%"
"Panola","2","0.5%"
"Clarke","3","0.7%"
"Pearl River","3","0.7%"
"Clay","3","0.7%"
"Perry","2","0.5%"
"Coahoma","4","0.9%"
"Pike","3","0.7%"
"Copiah","4","0.9%"
"Pontotoc","4","0.9%"
"Covington","1","0.2%"
"Prentiss","4","0.9%"
"+ Desoto","15","3.5%"
"Quitman","2","0.5%"
"+ Forrest","19","4.4%"
"+ Rankin","28","6.5%"
"Franklin","1","0.2%"
"Scott","5","1.2%"
"George","3","0.7%"
"Sharkey","3","0.7%"
"Greene","1","0.2%"
"Simpson","2","0.5%"
"Grenada","3","0.7%"
"Stone","6","1.4%"
"Hancock","3","0.7%"
"Sunflower","3","0.7%"
"+ Harrison","31","7.2%"
"Tallahatchie","2","0.5%"
"+ Hinds","34","7.9%"
"Tate","5","1.2%"
"Holmes","2","0.5%"
"Tippah","3","0.7%"
"Humphreys","2","0.5%"
"Tunica","3","0.7%"
"Itawamba","3","0.7%"
"Union","4","0.9%"
"+ Jackson","22","5.1%"
"Walthall","1","0.2%"
"Jasper","1","0.2%"
"Warren","5","1.2%"
"Jefferson","1","0.2%"
"Washington","10","2.3%"
"Jeff Davis","4","0.9%"
"Wayne","4","0.9%"
"+ Jones","11","2.5%"
"Webster","1","0.2%"
"Lafayette","5","1.2%"
"Winston","3","0.7%"
"Lamar","8","1.8%"
"Yazoo","4","0.9%"
"+ Lauderdale","16","3.7%"
"Lawrence","5","1.2%"
"Leake","1","0.2%"
"+ Lee","23","5.3%"
"Leflore","5","1.2%"
"Lincoln","3","0.7%"
"TOTAL","433","100.00%"
