"OFFENSE","Male","Female","Total","Percent"
"Aggravated Assault","365","38","403","4.0%"
"Burglary","1,749","102","1,851","18.4%"
"Homicide","60","4","64","0.6%"
"Manslaughter","115","15","130","1.3%"
"Possession/Drugs With Intent","622","68","690","6.9%"
"Possession of Drugs","1,372","193","1,565","15.6%"
"Property","2,206","506","2,712","27.0%"
"Robbery","482","26","508","5.1%"
"Sale of Drugs","1,229","180","1,409","14.0%"
"Sex Offense","420","13","433","4.3%"
"Violent","251","37","288","2.9%"
"Totals","8,506","1,144","10,053","100%"
