"County","Offenders","Percent"
"Adams","122","0.61%"
"Lowndes","325","1.62%"
"Alcorn","111","0.55%"
"Madison","371","1.85%"
"Amite","33","0.16%"
"Marion","105","0.52%"
"Attala","52","0.26%"
"Marshall","150","0.75%"
"Benton","23","0.11%"
"Monroe","102","0.51%"
"Bolivar","78","0.39%"
"Montgomery","23","0.11%"
"Calhoun","71","0.35%"
"Neshoba","126","0.63%"
"Carroll","18","0.09%"
"Newton","75","0.37%"
"Chickasaw","72","0.36%"
"Noxubee","18","0.09%"
"Choctaw","16","0.08%"
"Oktibbeha","184","0.92%"
"Claiborne","22","0.11%"
"Panola","171","0.85%"
"Clarke","42","0.21%"
"Pearl River","145","0.72%"
"Clay","104","0.52%"
"Perry","47","0.23%"
"Coahoma","67","0.33%"
"Pike","201","1.00%"
"Copiah","58","0.29%"
"Pontotoc","124","0.62%"
"Covington","34","0.17%"
"Prentiss","102","0.51%"
"Desoto","487","2.42%"
"Quitman","7","0.03%"
"Forrest","443","2.21%"
"Rankin","526","2.62%"
"Franklin","15","0.07%"
"Scott","117","0.58%"
"George","78","0.39%"
"Sharkey","24","0.12%"
"Greene","34","0.17%"
"Simpson","66","0.33%"
"Grenada","43","0.21%"
"Smith","23","0.11%"
"Hancock","156","0.78%"
"Stone","92","0.46%"
"Harrison","950","4.73%"
"Sunflower","75","0.37%"
"Hinds","471","2.34%"
"Tallahatchie","44","0.22%"
"Holmes","43","0.21%"
"Tate","80","0.40%"
"Humphreys","19","0.09%"
"Tippah","50","0.25%"
"Issaquena","3","0.01%"
"Tishomingo","43","0.21%"
"Itawamba","69","0.34%"
"Tunica","46","0.23%"
"Jackson","560","2.79%"
"Union","132","0.66%"
"Jasper","23","0.11%"
"Walthall","48","0.24%"
"Jeff Davis","24","0.12%"
"Warren","179","0.89%"
"Jefferson","19","0.09%"
"Washington","167","0.83%"
"Jones","205","1.02%"
"Wayne","65","0.32%"
"Kemper","16","0.08%"
"Webster","23","0.11%"
"Lafayette","103","0.51%"
"Wilkinson","8","0.04%"
"Lamar","127","0.63%"
"Winston","62","0.31%"
"Lauderdale","320","1.59%"
"Yalobusha","22","0.11%"
"Lawrence","41","0.20%"
"Yazoo","47","0.23%"
"Leake","70","0.35%"
"Lee","384","1.91%"
"Leflore","73","0.36%"
"Lincoln","121","0.60%"
"Lincoln","349","1.3%"
"TOTAL","10,053","100.00%"
