"Violation","Jul","Aug","Sep","Oct","Nov","Dec","Jan"
"Escape - Return","1","2","0","2","0","0","0"
"Federal Inmate","0","0","0","0","0","0","0"
"New Prisoner","337","416","383","408","365","334","346"
"Non-Adjudicated RID","8","11","14","16","10","9","11"
"Probation Revoked","231","337","218","277","217","253","185"
"Return - ERS","40","35","32","42","41","29","52"
"Return - House Arrest","41","30","32","30","32","30","35"
"Return - Medical","0","0","0","0","0","0","0"
"Return Parole","111","112","81","136","114","58","115"
"Warrant-Other Custody","0","3","3","4","3","3","3"
"TOTAL","769","946","763","915","782","716","747"
