"County","Offenders","Percent"
"Adams","6","0.7%"
"Montgomery","3","0.4%"
"Alcorn","7","0.8%"
"Neshoba","13","1.5%"
"Amite","1","0.1%"
"Newton","6","0.7%"
"Attala","5","0.6%"
"Noxubee","2","0.2%"
"Bolivar","6","0.7%"
"Oktibbeha","10","1.2%"
"Calhoun","3","0.4%"
"Panola","11","1.3%"
"Carroll","3","0.4%"
"Pearl River","12","1.4%"
"Chickasaw","8","0.9%"
"Perry","4","0.5%"
"Choctaw","3","0.4%"
"Pike","17","2.0%"
"Claiborne","1","0.1%"
"Pontotoc","15","1.8%"
"Clarke","2","0.2%"
"Prentiss","19","2.2%"
"Clay","5","0.6%"
"Quitman","1","0.1%"
"Coahoma","10","1.2%"
"+ Rankin","45","5.3%"
"Copiah","3","0.4%"
"Scott","8","0.9%"
"Covington","4","0.5%"
"Sharkey","3","0.4%"
"+ Desoto","35","4.1%"
"Simpson","1","0.1%"
"+ Forrest","30","3.5%"
"Smith","3","0.4%"
"Franklin","2","0.2%"
"Stone","7","0.8%"
"George","8","0.9%"
"Sunflower","4","0.5%"
"Greene","4","0.5%"
"Tallahatchie","4","0.5%"
"Grenada","5","0.6%"
"Tate","8","0.9%"
"Hancock","17","2.0%"
"Tippah","10","1.2%"
"+ Harrison","92","10.8%"
"Tishomingo","2","0.2%"
"+ Hinds","39","4.6%"
"Tunica","5","0.6%"
"Holmes","2","0.2%"
"Union","10","1.2%"
"Humphreys","3","0.4%"
"Walthall","8","0.9%"
"Itawamba","2","0.2%"
"Warren","14","1.7%"
"+ Jackson","48","5.7%"
"Washington","15","1.8%"
"Jefferson","2","0.2%"
"Wayne","9","1.1%"
"Jefferson Davis","2","0.2%"
"Webster","3","0.4%"
"+ Jones","25","2.9%"
"Winston","10","1.2%"
"Kemper","1","0.1%"
"Yalobusha","1","0.1%"
"Lafayette","5","0.6%"
"Yazoo","2","0.2%"
"Lamar","11","1.3%"
"+ Lauderdale","31","3.7%"
"TOTAL","848","100.00%"
"Lawrence","4","0.5%"
"Leake","5","0.6%"
"Lee","21","2.5%"
"Leflore","3","0.4%"
"Lincoln","9","1.1%"
"+ Lowndes","30","3.5%"
"+ Madison","29","3.4%"
"Marion","12","1.4%"
"Marshall","9","1.1%"
"Monroe","10","1.2%"
