"County","Offenders","Percent"
"Adams","37","1.2%"
"Lowndes","124","4.2%"
"Alcorn","31","1.0%"
"Madison","107","3.6%"
"Amite","5","0.2%"
"Marion","35","1.2%"
"Attala","16","0.5%"
"Marshall","55","1.9%"
"Benton","8","0.3%"
"Monroe","40","1.3%"
"Bolivar","13","0.4%"
"Montgomery","2","0.1%"
"Calhoun","21","0.7%"
"Neshoba","35","1.2%"
"Carroll","3","0.1%"
"Newton","26","0.9%"
"Chickasaw","40","1.3%"
"Noxubee","5","0.2%"
"Choctaw","5","0.2%"
"Oktibbeha","59","2.0%"
"Clarke","7","0.2%"
"Panola","54","1.8%"
"Clay","52","1.8%"
"Pearl River","37","1.2%"
"Coahoma","13","0.4%"
"Perry","13","0.4%"
"Copiah","11","0.4%"
"Pike","56","1.9%"
"Covington","11","0.4%"
"Pontotoc","40","1.3%"
"Desoto","155","5.2%"
"Prentiss","27","0.9%"
"Forrest","120","4.0%"
"Quitman","2","0.1%"
"George","43","1.5%"
"Rankin","153","5.2%"
"Greene","13","0.4%"
"Scott","51","1.7%"
"Grenada","14","0.5%"
"Sharkey","2","0.1%"
"Hancock","66","2.2%"
"Simpson","20","0.7%"
"Harrison","307","10.4%"
"Smith","9","0.3%"
"Hinds","89","3.0%"
"Stone","30","1.0%"
"Holmes","2","0.1%"
"Sunflower","9","0.3%"
"Humphreys","2","0.1%"
"Tallahatchie","16","0.5%"
"Itawamba","18","0.6%"
"Tate","18","0.6%"
"Jackson","178","6.0%"
"Tippah","18","0.6%"
"Jasper","8","0.3%"
"Tishomingo","14","0.5%"
"Jeff Davis","8","0.3%"
"Tunica","10","0.3%"
"Jefferson","4","0.1%"
"Union","44","1.5%"
"Jones","33","1.1%"
"Walthall","16","0.5%"
"Kemper","3","0.1%"
"Warren","44","1.5%"
"Lafayette","32","1.1%"
"Washington","20","0.7%"
"Lamar","30","1.0%"
"Wayne","18","0.6%"
"Lauderdale","74","2.5%"
"Webster","10","0.3%"
"Lawrence","11","0.4%"
"Wilkinson","2","0.1%"
"Leake","29","1.0%"
"Winston","30","1.0%"
"Lee","123","4.1%"
"Yalobusha","5","0.2%"
"Leflore","18","0.6%"
"Yazoo","12","0.4%"
"Lincoln","43","1.5%"
"Total","2964","100.00%"
