"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"22,162 
 
2,152 
 
24,314","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","6,942","1,244","","8,186","33.67"
"Black","14,986","893","","15,879","65.31"
"Hispanic","168","10","","178",".73"
"Other","61","5","","66",".27"
"Unknown Race","5","0","","5",".02"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","3","0","","3",".01"
"16","11","0","","11",".05"
"17","33","0","","33",".14"
"18  -  19","477","22","","499","2.05"
"20  -  29","7,603","663","","8,266","34.00"
"30  -  39","6,765","699","","7,464","30.70"
"40  -  49","4,469","527","","4,996","20.55"
"50  -  59","2,189","204","","2,393","9.84"
"60  -  69","507","32","","539","2.22"
"70  -  79","91","5","","96",".39"
"80+","13","0","","13",".05"
"Verification Pending","1","0","","1",".00"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","2,994","181","","3,175","13.06"
"Homicide/Manslaughter","2,513","225","","2,738","11.26"
"Property","2,825","613","","3,438","14.14"
"Possession of Drugs","3,446","465","","3,911","16.09"
"Robbery","2,932","121","","3,053","12.56"
"Sale of Drugs","2,785","309","","3,094","12.73"
"Sex Offense","2,649","42","","2,691","11.07"
"Violent","2,018","196","","2,214","9.11"
