"Location","Capacity","19-Apr-10","20-Apr-10","21-Apr-10","22-Apr-10","23-Apr-10","24-Apr-10","25-Apr-10","26-Apr-10","27-Apr-10"
"Mississippi State Penitentiary","4,435","3,711","3,679","3,680","3,681","3,672","3,669","3,667","3,662","3,633"
"Central Mississippi Correctional Facility","3,449","3,308","3,327","3,327","3,322","3,328","3,324","3,319","3,313","3,299"
"South Mississippi Correctional Institution","3,204","3,109","3,117","3,120","3,109","3,103","3,102","3,101","3,100","3,104"
"County Jails","1,450","1,446","1,476","1,483","1,514","1,536","1,536","1,536","1,537","1,568"
"COMMUNITY WORK CENTERS","1,848","1,636","1,632","1,645","1,604","1,593","1,589","1,588","1,593","1,591"
"Alcorn Satellite Facility","92","72","73","73","72","72","71","71","71","71"
"Bolivar Satellite Facility","102","92","92","92","88","90","90","90","90","90"
"Forrest Satellite Facility","96","80","80","80","79","78","78","78","78","75"
"George Satellite Facility","102","91","91","92","92","92","91","92","91","91"
"Harrison Satellite Facility","102","83","81","81","80","75","74","74","77","84"
"Jackson Satellite Facility","102","87","87","85","85","84","83","83","84","87"
"Jefferson Satellite Facility","102","93","92","92","91","91","91","90","90","89"
"Leflore Satellite Facility","102","84","84","84","81","81","81","81","79","79"
"Madison Satellite Facility","102","89","89","93","95","99","99","98","98","96"
"Noxubee Satellite Facility","92","90","90","90","89","87","87","87","87","87"
"Pike Satellite Facility","93","73","72","72","72","72","72","72","71","70"
"Quitman Satellite Facility","93","93","93","93","70","70","70","70","70","70"
"Rankin Satellite Facility","260","236","235","239","237","236","236","236","239","237"
"Simpson Satellite Facility","102","102","102","102","102","100","100","100","101","98"
"Washington Satellite Facility","102","86","86","86","85","82","82","82","83","83"
"Wilkinson Satellite Facility","102","90","90","90","88","86","86","86","86","85"
"Yazoo Satellite Facility","102","95","95","101","98","98","98","98","98","99"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,531","2,529","2,527","2,525","2,528","2,528","2,526","2,523","2,521"
"Bolivar County","294","235","235","235","235","235","235","234","234","234"
"Carroll County","280","224","223","223","224","224","224","224","224","224"
"George County","280","222","223","222","222","222","222","222","222","223"
"Holmes County","280","223","224","224","224","224","224","224","223","223"
"Issaquena County","274","219","219","219","219","219","219","219","218","218"
"Jefferson County","280","224","223","223","224","224","224","224","223","223"
"Kemper County","355","287","286","286","283","284","284","284","284","284"
"Leake County","280","225","224","224","223","224","224","224","224","225"
"Marion County","280","224","224","224","224","224","224","224","224","222"
"Stone County","280","224","224","223","223","224","224","223","223","221"
"Winston County","280","224","224","224","224","224","224","224","224","224"
"PRIVATE PRISONS","5,972","5,248","5,271","5,278","5,285","5,284","5,279","5,277","5,272","5,311"
"Delta","972","901","900","903","902","901","901","901","901","904"
"East Mississippi","1,500","1,298","1,325","1,324","1,333","1,334","1,331","1,331","1,330","1,355"
"Marshall County","1,000","901","900","900","900","897","896","896","893","901"
"Walnut Grove","1,500","1,197","1,195","1,200","1,201","1,201","1,200","1,199","1,199","1,200"
"Wilkinson County","1,000","951","951","951","949","951","951","950","949","951"
"RESTITUTION CENTERS","16","9","8","8","7","8","8","8","8","8"
"Greenwood","6","3","2","2","2","3","3","3","3","3"
"Hinds","6","4","4","4","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","5","10","11","7","21","24","24","11","12"
"TOTALS","23,543","21,009","21,055","21,085","21,060","21,079","21,065","21,052","21,025","21,053"
