"Location","Capacity","19-Apr-20","20-Apr-20","21-Apr-20","22-Apr-20","23-Apr-20","24-Apr-20","25-Apr-20","26-Apr-20","27-Apr-20","28-Apr-20","29-Apr-20","30-Apr-20","Avg Population"
"Mississippi State Penitentiary","3,560","2,070","2,075","2,071","2,069","2,065","2,064","2,064","2,063","2,061","2,061","2,857","2,051","2,102"
"Central Mississippi Correctional Facility","4,094","3,539","3,529","3,516","3,508","3,507","3,504","3,502","3,502","3,495","3,486","3,472","3,455","3560"
"Youthful Offender Unit","58","20","19","19","19","19","19","19","19","19","19","19","19","20"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,568","2,566","2,565","2,558","2,556","2,553","2,552","2,552","2,550","2,551","2,546","2,540","2574"
"County Jails","1,793","1,419","1,428","1,426","1,427","1,441","1,442","1,442","1,442","1,442","1,452","1,456","1,465","1403"
"COMMUNITY WORK CENTERS","1,372","626","622","613","599","595","595","584","584","577","572","560","555","642"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","63","56","63","63","63","63","63","63","63","63","62","62","62"
"Delta TVC","324","66","66","58","44","42","42","32","31","25","22","21","17","77"
"Forrest Satellite Facility","96","77","76","76","76","76","75","75","75","75","74","73","73","78"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","30","30","30","30","30","30","30","30","30","30","30","30","30"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","54","60","53","53","53","53","53","53","53","53","53","53","54"
"Noxubee Satellite Facility","58","38","38","38","38","38","38","38","38","37","37","37","37","38"
"Pike Satellite Facility","93","86","86","86","86","85","86","85","86","86","85","84","84","88"
"Quitman Satellite Facility","93","52","52","52","52","52","52","52","52","52","52","52","52","53"
"Rankin Satellite Facility","178","137","137","136","136","136","136","136","136","136","136","136","136","139"
"Rankin SF (RRD)","28","13","10","10","10","9","9","9","9","9","9","1","0","12"
"Flowood TVC","50","10","11","11","11","11","11","11","11","11","11","11","11","11"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,179","4,174","4,164","4,160","4,154","4,421","4,147","4,147","4,139","4,136","4,132","4,117","4202"
"Alcorn County","300","287","287","286","286","286","286","286","286","286","286","286","286","290"
"Bolivar County","369","282","282","282","282","282","282","282","282","281","281","281","280","283"
"Carroll County","280","257","256","256","256","256","256","256","256","256","256","256","256","258"
"Chickasaw County","310","302","301","301","300","300","299","299","299","299","299","299","299","302"
"George County","342","326","325","323","324","324","324","324","324","323","323","322","322","326"
"Holmes County","280","265","265","264","264","264","264","264","264","264","264","264","262","266"
"Issaquena County","297","307","307","306","305","305","304","304","304","304","303","303","301","307"
"Jefferson County","280","262","262","260","260","260","260","260","260","260","260","260","260","262"
"Kemper County","355","318","318","318","316","311","310","310","310","310","310","309","306","318"
"Leake County","280","255","255","255","254","254","525","252","252","249","249","248","246","264"
"Marion County","280","380","379","378","378","378","378","378","378","378","378","378","376","382"
"Stone County","326","273","273","272","272","271","270","270","270","269","268","268","265","272"
"Washington County","300","137","137","137","137","137","137","137","137","136","135","135","135","138"
"Winston County","280","243","243","243","243","243","243","242","242","242","242","242","242","247"
"Yazoo County","300","285","284","283","283","283","283","283","283","282","282","281","281","286"
"PRIVATE PRISONS","5,000","3,075","3,073","3,070","3,068","3,069","3,068","3,067","3,067","3,064","3,059","3,054","3,051","3065"
"Tallahatchie County","1,000","796","787","787","787","787","787","787","787","787","787","787","782","810"
"East Mississippi","1,500","1,234","1,234","1,232","1,230","1,231","1,230","1,229","1,229","1,229","1,227","1,225","1,224","1222"
"Marshall County","1,000","985","984","983","983","983","983","983","983","980","978","976","976","985"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","856","855","855","855","855","855","855","855","855","854","853","851","858"
"RESTITUTION CENTERS","10","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Pascagoula","4","0","0","0","0","0","0","0","0","0","0","0","0","1"
"TRANSITIONAL HOUSING","122","24","24","23","24","24","24","24","24","24","24","7","7","25"
"Madison","40","2","2","2","2","2","2","2","2","2","2","1","1","2"
"Noxubee","34","19","19","19","19","19","19","19","19","19","19","4","4","20"
"Rankin/Flowood","8","3","3","2","3","3","3","3","3","3","3","2","2","3"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","23,670","17,520","17,510","17,467","17,432","17,430","17,690","17,401","17,400","17,371","17,360","18,103","17,260","17595"
