"Location","Capacity","1-Feb-19","","2-Feb-19","3-Feb-19","4-Feb-19","5-Feb-19","6-Feb-19","7-Feb-19","8-Feb-19","9-Feb-19","10-Feb-19","11-Feb-19","12-Feb-19","13-Feb-19","14-Feb-19","15-Feb-19","16-Feb-19","17-Feb-19"
"Mississippi State Penitentiary","3,560","3,239","3,239","3,240","3,213","3,226","3,230","3,235","3,243","3,243","3,242","3,244","3,240","3,256","3,263","3,273","3,272","3,272"
"Central Mississippi Correctional Facility","4,131","3,738","3,738","3,736","3,750","3,752","3,699","3,712","3,729","3,729","3,729","3,698","3,719","3,708","3,710","3,710","3,712","3,712"
"Youthful Offender Unit","58","35","35","35","34","35","35","35","36","36","36","36","36","36","35","35","35","35"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,884","2,884","2,884","2,884","2,810","2,808","2,776","2,720","2,720","2,720","2,712","2,655","2,648","2,655","2,646","2,646","2,645"
"County Jails","1,793","1,264","1,264","1,264","1,251","1,263","1,265","1,278","1,272","1,272","1,272","1,270","1,294","1,321","1,330","1,375","1,375","1,375"
"COMMUNITY WORK CENTERS","1,372","994","994","993","1,030","1,024","1,056","1,050","1,059","1,058","1,057","1,082","1,075","1,093","1,087","1,070","1,067","1,065"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","86","86","86","85","86","86","86","86","86","86","86","86","84","84","85","85","85"
"Delta TVC","324","249","249","248","275","266","291","290","290","290","290","313","304","324","320","317","316","314"
"Forrest Satellite Facility","96","53","53","53","56","56","56","54","55","54","54","52","55","55","55","55","55","55"
"George Satellite Facility","102","77","77","77","76","76","77","75","77","77","77","77","75","75","75","72","72","72"
"Harrison Satellite Facility","102","46","46","46","46","49","49","49","55","55","54","53","54","54","53","54","52","52"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","59","59","59","59","61","61","61","60","60","60","61","60","61","61","57","57","57"
"Noxubee Satellite Facility","58","49","49","49","50","49","49","49","49","49","49","48","48","48","48","44","44","44"
"Pike Satellite Facility","93","81","81","81","81","81","84","84","78","78","78","77","77","77","77","80","80","80"
"Quitman Satellite Facility","93","59","59","59","60","60","65","65","65","65","65","65","65","64","64","62","62","62"
"Rankin Satellite Facility","178","147","147","147","153","153","152","152","157","157","157","162","163","165","165","161","161","161"
"Rankin RID","28","16","16","16","16","16","15","14","16","16","16","16","16","16","16","15","15","15"
"Flowood TVC","50","21","21","21","21","20","20","19","19","19","19","20","20","18","17","16","16","16"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","51","51","51","52","51","51","52","52","52","52","52","52","52","52","52","52","52"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,938","3,932","3,938","4,004","4,036","4,102","4,122","4,140","4,140","4,140","4,186","4,189","4,181","4,186","4,182","4,181","4,181"
"Alcorn County","300","254","254","254","263","272","283","282","291","291","291","301","301","300","299","299","299","299"
"Bolivar County","369","292","292","292","290","290","290","293","293","293","293","293","293","289","289","289","289","289"
"Carroll County","280","279","279","279","278","278","281","279","279","279","279","278","275","279","279","279","279","279"
"Chickasaw County","310","249","249","249","257","264","275","275","275","275","275","286","293","293","293","291","290","290"
"George County","342","306","306","306","327","341","341","340","339","339","339","339","339","338","338","336","336","336"
"Holmes County","280","204","204","204","212","211","220","218","228","228","228","228","238","238","248","248","248","248"
"Issaquena County","274","267","267","267","267","267","272","270","273","273","273","273","271","274","273","273","273","273"
"Jefferson County","280","278","278","278","278","279","279","278","278","278","278","278","276","275","276","274","274","274"
"Kemper County","355","292","292","292","315","314","313","343","342","342","342","343","340","339","339","335","335","335"
"Leake County","280","266","266","266","267","269","275","273","272","272","272","274","273","271","268","266","266","266"
"Marion County","280","279","273","279","280","280","279","279","279","279","279","279","279","277","277","280","280","280"
"Stone County","326","277","277","277","277","276","276","274","274","274","274","272","270","269","269","275","275","275"
"Washington County","300","165","165","165","165","164","164","164","164","164","164","172","172","171","171","171","171","171"
"Winston County","280","264","264","264","262","262","271","271","271","271","271","278","278","278","277","277","277","277"
"Yazoo County","300","266","266","266","266","269","283","283","282","282","282","292","291","290","290","289","289","289"
"PRIVATE PRISONS","5,472","3,139","3,139","3,139","3,138","3,123","3,198","3,129","3,137","3,137","3,137","3,130","3,129","3,138","3,138","3,133","3,131","3,131"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,206","1,206","1,206","1,200","1,199","1,208","1,210","1,205","1,205","1,205","1,198","1,197","1,198","1,199","1,195","1,194","1,195"
"Marshall County","1,000","998","998","998","1,000","999","995","994","993","993","993","991","991","1,000","999","999","999","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","935","935","935","938","925","995","925","939","939","939","941","941","940","940","939","938","938"
"RESTITUTION CENTERS","10","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2"
"TRANSITIONAL HOUSING","122","17","17","17","18","17","18","18","18","18","18","18","18","24","25","25","25","25"
"Madison","40","2","2","2","2","2","3","2","2","2","2","2","2","6","7","7","7","7"
"Noxubee","34","12","12","12","12","13","13","12","12","12","12","12","12","14","14","14","14","14"
"Rankin/Flowood","8","3","3","3","4","2","2","4","4","4","4","4","4","4","4","4","4","4"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,156","19,255","19,249","19,253","19,329","19,293","19,418","19,362","19,361","19,360","19,358","19,383","19,362","19,412","19,436","19,455","19,450","19,447"
