"Location","Capacity","1-Oct-19","2-Oct-19","3-Oct-19","4-Oct-19","5-Oct-19","6-Oct-19","7-Oct-19","8-Oct-19","9-Oct-19","10-Oct-19","11-Oct-19","12-Oct-19","13-Oct-19","14-Oct-19","15-Oct-19","16-Oct-19","17-Oct-19"
"Mississippi State Penitentiary","3,560","3,233","3,243","3,245","3,246","3,256","3,262","3,260","3,255","3,250","3,242","3,270","3,267","3,266","3,257","3,248","3,245","3,254"
"Central Mississippi Correctional Facility","4,094","3,565","3,584","3,582","3,598","3,566","3,580","3,558","3,602","3,600","3,614","3,608","3,608","3,606","3,643","3,647","3,642","3,640"
"Youthful Offender Unit","58","23","26","25","24","24","23","23","23","24","24","24","24","24","25","23","27","24"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,659","2,654","2,652","2,651","2,645","2,648","2,656","2,659","2,659","2,657","2,656","2,655","2,654","2,651","2,657","2,649","2,650"
"County Jails","1,793","1,302","1,291","1,277","1,289","1,277","1,320","1,331","1,312","1,276","1,281","1,282","1,282","1,282","1,274","1,257","1,276","1,296"
"COMMUNITY WORK CENTERS","1,372","987","1,002","1,003","975","975","966","977","973","963","970","955","954","953","959","957","959","942"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","83","81","81","79","79","79","79","82","84","81","77","77","77","82","81","81","81"
"Delta TVC","324","264","283","282","276","277","270","266","259","251","252","254","254","253","245","242","237","233"
"Forrest Satellite Facility","96","65","65","65","57","57","57","59","59","59","59","59","59","59","59","65","65","64"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","48","48","48","45","45","45","46","46","46","46","45","46","46","46","46","46","44"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","86","86","82","84","84","84","87","86","85","88","86","86","86","84","85","82","82"
"Noxubee Satellite Facility","58","53","52","69","49","48","48","54","54","54","54","53","53","53","53","53","53","54"
"Pike Satellite Facility","93","82","82","88","81","81","81","82","82","82","78","78","78","78","78","75","75","75"
"Quitman Satellite Facility","93","68","69","52","73","73","73","73","75","74","72","72","72","72","70","70","69","69"
"Rankin Satellite Facility","178","141","139","139","135","135","135","138","138","138","138","132","132","132","142","142","156","141"
"Rankin RID","28","15","15","15","15","15","15","15","15","14","14","14","14","14","14","14","14","14"
"Flowood TVC","50","25","25","25","24","24","22","21","21","20","32","32","30","30","30","28","27","25"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","57","57","57","57","57","57","57","56","56","56","53","53","53","56","56","54","60"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,310","4,320","4,323","4,322","4,322","4,322","4,331","4,322","4,327","4,322","4,315","4,317","4,316","4,293","4,326","4,318","4,321"
"Alcorn County","300","296","297","300","300","300","300","299","299","299","298","297","297","296","295","295","297","296"
"Bolivar County","369","290","293","293","292","292","292","291","291","290","294","294","294","294","294","294","293","293"
"Carroll County","280","272","276","276","280","280","280","280","280","277","275","275","275","275","274","280","278","276"
"Chickasaw County","310","310","310","310","310","310","310","310","310","309","310","310","310","310","310","310","310","310"
"George County","342","334","331","331","331","331","331","341","341","342","340","338","338","338","338","337","334","334"
"Holmes County","280","279","277","280","279","279","279","278","277","277","277","277","277","277","276","279","279","279"
"Issaquena County","297","319","319","316","316","316","316","316","315","320","318","317","317","317","316","325","319","319"
"Jefferson County","280","280","279","279","278","278","278","280","280","284","284","283","283","283","283","283","281","281"
"Kemper County","355","349","350","352","351","351","351","351","347","349","349","347","349","349","341","348","350","350"
"Leake County","280","279","278","278","276","276","276","279","279","278","278","276","276","276","274","278","278","281"
"Marion County","280","280","280","279","280","280","280","279","279","279","278","280","280","280","280","279","279","280"
"Stone County","326","278","278","279","279","279","279","279","279","278","277","277","277","277","277","277","277","279"
