"Location","Capacity","19-Aug-10","20-Aug-10","21-Aug-10","22-Aug-10","23-Aug-10","24-Aug-10","25-Aug-10","26-Aug-10","27-Aug-10"
"Mississippi State Penitentiary","4,435","3,472","3,462","3,462","3,463","3,468","3,471","3,469","3,473","3,471"
"Central Mississippi Correctional Facility","3,449","3,270","3,230","3,233","3,231","3,241","3,256","3,279","3,264","3,243"
"South Mississippi Correctional Institution","3,204","3,178","3,173","3,171","3,172","3,180","3,180","3,169","3,166","3,166"
"County Jails","1,485","1,639","1,664","1,664","1,664","1,664","1,638","1,637","1,660","1,695"
"COMMUNITY WORK CENTERS","1,848","1,630","1,661","1,659","1,659","1,661","1,664","1,666","1,656","1,629"
"Alcorn Satellite Facility","92","72","83","83","83","83","83","83","82","76"
"Bolivar Satellite Facility","102","88","90","90","90","89","89","89","89","88"
"Forrest Satellite Facility","96","81","81","81","81","73","73","73","73","73"
"George Satellite Facility","102","97","95","94","94","100","99","99","98","97"
"Harrison Satellite Facility","102","75","79","79","79","79","79","79","77","73"
"Jackson Satellite Facility","102","91","91","91","91","92","92","92","92","90"
"Jefferson Satellite Facility","102","91","91","91","91","91","91","91","91","90"
"Leflore Satellite Facility","102","92","93","92","92","90","88","88","87","86"
"Madison Satellite Facility","102","97","94","94","94","94","94","98","98","97"
"Noxubee Satellite Facility","92","90","90","90","90","91","91","91","91","89"
"Pike Satellite Facility","93","84","86","86","86","88","93","92","92","92"
"Quitman Satellite Facility","93","88","88","88","88","91","91","92","92","92"
"Rankin Satellite Facility","260","227","229","229","229","229","231","231","226","226"
"Simpson Satellite Facility","102","96","94","94","94","95","97","97","97","93"
"Washington Satellite Facility","102","91","94","94","94","94","93","91","91","86"
"Wilkinson Satellite Facility","102","79","86","86","86","86","86","86","86","83"
"Yazoo Satellite Facility","102","91","97","97","97","96","94","94","94","98"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,525","2,527","2,525","2,521","2,527","2,527","2,528","2,528","2,529"
"Bolivar County","294","235","234","234","234","234","234","234","234","234"
"Carroll County","280","223","223","222","221","223","222","224","224","224"
"George County","280","224","223","222","221","223","224","224","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","220","220","220","219","220","219","218","218","217"
"Jefferson County","280","223","224","224","224","224","224","224","223","224"
"Kemper County","355","283","283","283","283","283","283","282","284","284"
"Leake County","280","226","226","226","226","226","226","226","226","227"
"Marion County","280","224","224","224","224","223","224","224","224","224"
"Stone County","280","222","222","222","222","223","223","224","223","223"
"Winston County","280","221","224","224","223","224","224","224","224","224"
"PRIVATE PRISONS","5,972","5,324","5,298","5,296","5,295","5,290","5,304","5,310","5,308","5,306"
"Delta","972","904","902","902","902","906","904","903","901","901"
"East Mississippi","1,500","1,359","1,363","1,362","1,362","1,358","1,356","1,358","1,361","1,360"
"Marshall County","1,000","900","900","900","900","899","899","901","901","901"
"Walnut Grove","1,500","1,216","1,189","1,188","1,187","1,178","1,196","1,197","1,193","1,192"
"Wilkinson County","1,000","945","944","944","944","949","949","951","952","952"
"RESTITUTION CENTERS","16","12","10","10","10","10","9","9","9","9"
"Greenwood","6","6","4","4","4","4","3","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","12","29","29","29","10","8","3","3","31"
"TOTALS","23,578","21,068","21,060","21,055","21,050","21,057","21,063","21,076","21,073","21,085"
