"Location","Capacity","1-Sep-19","2-Sep-19","3-Sep-19","4-Sep-19","5-Sep-19","6-Sep-19","7-Sep-19","8-Sep-19","9-Sep-19","10-Sep-19","11-Sep-19","12-Sep-19","13-Sep-19","14-Sep-19","15-Sep-19","16-Sep-19","17-Sep-19"
"Mississippi State Penitentiary","3,560","3,243","3,243","3,245","3,246","3,256","3,246","3,245","3,245","3,236","3,232","3,246","3,247","3,264","3,262","3,262","3,270","3,263"
"Central Mississippi Correctional Facility","4,131","3,585","3,584","3,582","3,598","3,566","3,520","3,519","3,517","3,528","3,517","3,519","3,534","3,514","3,514","3,515","3,526","3,489"
"Youthful Offender Unit","58","26","26","25","24","24","24","24","24","24","24","24","25","25","25","25","25","25"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,653","2,654","2,652","2,651","2,645","2,657","2,657","2,657","2,655","2,652","2,663","2,666","2,664","2,665","2,662","2,663","2,662"
"County Jails","1,793","1,291","1,291","1,277","1,289","1,277","1,324","1,324","1,324","1,350","1,334","1,334","1,328","1,345","1,345","1,345","1,337","1,324"
"COMMUNITY WORK CENTERS","1,372","1,006","996","990","1,004","990","984","982","981","988","985","991","992","987","975","971","979","993"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","93","93","93","93","90","90","90","86","90","90","90","87","87","86","86","88","88"
"Delta TVC","324","262","252","247","263","260","259","258","258","262","256","264","259","258","255","253","257","251"
"Forrest Satellite Facility","96","76","76","82","82","81","80","80","77","80","80","80","79","77","77","77","79","78"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","50","50","50","50","50","49","49","48","50","50","50","50","48","48","48","49","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","75","75","75","75","74","79","79","78","79","79","78","78","78","78","78","78","80"
"Noxubee Satellite Facility","58","45","45","45","44","44","40","40","41","42","42","42","42","48","41","41","42","51"
"Pike Satellite Facility","93","88","88","87","87","87","85","85","85","86","86","86","85","85","85","85","85","88"
"Quitman Satellite Facility","93","63","63","62","62","61","61","61","61","61","66","66","65","61","61","61","61","62"
"Rankin Satellite Facility","178","144","144","143","142","139","138","138","140","137","137","137","142","141","141","140","139","138"
"Rankin RID","28","14","14","14","14","14","14","14","17","14","14","14","17","17","17","17","17","17"
"Flowood TVC","50","35","35","32","32","31","31","30","30","30","28","28","28","27","26","25","24","32"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","61","61","60","60","59","58","58","60","57","57","56","60","60","60","60","60","59"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,315","4,313","4,313","4,318","4,315","4,336","4,334","4,334","4,326","4,347","4,339","4,334","4,309","4,308","4,307","4,299","4,330"
"Alcorn County","300","300","300","300","299","297","297","297","297","297","297","298","298","298","298","298","297","300"
"Bolivar County","369","294","294","294","294","291","290","289","289","293","293","291","291","291","291","291","291","294"
"Carroll County","280","279","279","279","279","279","278","277","277","276","276","273","273","271","271","271","270","270"
"Chickasaw County","310","308","308","310","310","310","310","310","310","310","310","310","309","308","308","308","308","310"
"George County","342","337","336","335","346","353","352","352","352","351","357","353","352","332","332","332","332","341"
"Holmes County","280","276","276","276","276","279","280","280","280","280","280","280","279","278","278","278","278","279"
