"Location","Capacity","19-Nov-09","20-Nov-09","21-Nov-09","22-Nov-09","23-Nov-09","24-Nov-09","25-Nov-09","26-Nov-09","27-Nov-09"
"Mississippi State Penitentiary","4,435","3,942","3,936","3,933","3,932","3,934","3,943","3,941","3,941","3,938"
"Central Mississippi Correctional Facility","3,665","3,277","3,295","3,294","3,293","3,313","3,309","3,227","3,226","3,226"
"South Mississippi Correctional Institution","3,204","2,705","2,704","2,706","2,706","2,707","2,706","2,711","2,708","2,708"
"County Jails","1,498","1,552","1,540","1,540","1,540","1,581","1,604","1,657","1,615","1,617"
"COMMUNITY WORK CENTERS","1,848","1,798","1,798","1,797","1,795","1,791","1,769","1,809","1,805","1,803"
"Alcorn Satellite Facility","92","90","90","90","90","90","87","87","86","86"
"Bolivar Satellite Facility","102","97","97","97","97","97","96","99","99","99"
"Forrest Satellite Facility","96","95","95","95","95","95","95","95","95","94"
"George Satellite Facility","102","98","98","98","98","102","102","101","101","101"
"Harrison Satellite Facility","102","102","100","100","100","102","102","102","102","102"
"Jackson Satellite Facility","102","102","102","102","102","102","102","102","102","102"
"Jefferson Satellite Facility","102","102","101","101","101","100","95","102","102","102"
"Leflore Satellite Facility","102","98","97","97","97","92","91","101","100","100"
"Madison Satellite Facility","102","102","102","102","102","102","102","102","102","102"
"Noxubee Satellite Facility","92","90","87","87","87","87","87","92","92","92"
"Pike Satellite Facility","93","79","85","85","85","85","86","86","85","84"
"Quitman Satellite Facility","93","90","89","89","89","92","91","87","87","87"
"Rankin Satellite Facility","260","253","253","253","253","247","243","253","253","253"
"Simpson Satellite Facility","102","102","102","102","102","102","99","102","101","101"
"Washington Satellite Facility","102","101","101","100","100","100","100","100","100","100"
"Wilkinson Satellite Facility","102","97","97","97","96","95","95","99","99","99"
"Yazoo Satellite Facility","102","100","102","102","101","101","96","99","99","99"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,834","2,818","2,816","2,814","2,810","2,797","2,790","2,790","2,789"
"Bolivar County","294","256","254","254","254","253","249","248","248","247"
"Carroll County","280","253","248","248","248","248","243","243","243","243"
"George County","280","250","249","248","247","247","247","246","246","246"
"Holmes County","280","257","256","256","256","256","256","256","256","256"
"Issaquena County","274","240","238","238","237","237","236","236","236","236"
"Jefferson County","280","242","242","242","242","242","242","242","242","242"
"Kemper County","355","327","326","326","326","324","322","320","320","320"
"Leake County","280","253","252","252","252","252","252","252","252","252"
"Marion County","280","261","261","260","260","260","260","259","259","259"
"Stone County","280","248","245","245","245","244","243","241","241","241"
"Winston County","280","247","247","247","247","247","247","247","247","247"
"PRIVATE PRISONS","5,972","5,355","5,354","5,352","5,351","5,340","5,332","5,333","5,332","5,328"
"Delta","972","919","918","918","918","916","914","910","910","908"
"East Mississippi","1,500","1,340","1,340","1,340","1,339","1,336","1,330","1,329","1,329","1,329"
"Marshall County","1,000","948","947","946","946","946","938","938","937","936"
"Walnut Grove","1,500","1,199","1,200","1,199","1,199","1,193","1,200","1,208","1,208","1,207"
"Wilkinson County","1,000","949","949","949","949","949","950","948","948","948"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","10","10","10"
"Greenwood","6","5","5","5","5","5","5","6","6","6"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","15","10","9","9","11","8","8","9","8"
"TOTALS","23,807","21,493","21,470","21,462","21,455","21,502","21,483","21,492","21,442","21,433"
